category,spend,suppliers,lines,avg_per_supplier,suppliers_per_$1m,top_supplier_share,spend_score,risk_score,quadrant,strategy
Institutional Food Services Equipment,3468902.2,58,306,59808.65862068966,16.71998708986376,0.11493758169371279,0.13436008979874545,0.01718173474740943,Leverage,"Negotiate - tender, consolidate volume"
Doors And Windows And Glass,3449509.21,38,115,90776.55815789473,11.016059875949715,0.544290432551128,0.13360894614359536,0.2661897692485999,Strategic,"Partner - dual-source, joint planning"
Welding And Soldering And Brazing Machinery And Accessories And Supplies,3289585.53,28,63,117485.1975,8.511710592306747,0.6320328141764413,0.1274146636971932,0.32474468063784495,Strategic,"Partner - dual-source, joint planning"
Public Order And Safety,3274835.71,6,10,545805.9516666667,1.8321529784466652,0.8307806073117481,0.12684336274217772,0.568840435193282,Strategic,"Partner - dual-source, joint planning"
Structural Components And Basic Shapes,3198084.83,42,114,76144.87690476191,13.132859893525714,0.22962941855422894,0.1238705908003995,0.08791061963246513,Leverage,"Negotiate - tender, consolidate volume"
Plumbing Fixtures,3196471.13,48,143,66593.14854166667,15.016559839850641,0.5267554191862824,0.12380808777655862,0.2508244872879323,Strategic,"Partner - dual-source, joint planning"
Frozen Vegetables,3161750.76,6,167,526958.46,1.8976827888862435,0.9377909218878467,0.12246327268461234,0.6286035266136492,Strategic,"Partner - dual-source, joint planning"
Patient Care And Treatment Products And Supplies,2994921.89,53,708,56507.960188679244,17.696621797371815,0.43301695257234235,0.11600153330371449,0.1964758252953796,Strategic,"Partner - dual-source, joint planning"
Footwear,2980415.5,29,138,102772.94827586207,9.730186948766036,0.28367408839472213,0.11543966105979374,0.12894167801799736,Leverage,"Negotiate - tender, consolidate volume"
Fluid And Gas Distribution,2964866.56,72,291,41178.70222222222,24.284398148427968,0.30942790558506617,0.11483740799694425,0.12239318873661773,Routine,"Simplify - catalogue buying, e-procurement"
Components For Information Technology Or Broadcasting Or Telecommunications,2740076.8,58,205,47242.70344827586,21.167289909538304,0.31877287892076606,0.1061306844867114,0.13101961618093413,Routine,"Simplify - catalogue buying, e-procurement"
Seasonings And Preservatives,2723294.22,24,406,113470.59250000001,8.812856071056473,0.35649180792518265,0.10548064916549232,0.17691057525950896,Bottleneck,"Secure - buffer stock, qualify alternates"
Hand Tools,2526617.59,92,453,27463.23467391304,36.4123167526907,0.15402095336477098,0.0978628242328336,0.03253273549465945,Routine,"Simplify - catalogue buying, e-procurement"
Material Handling Machinery And Equipment,2346233.36,81,235,28965.843950617284,34.523420125609334,0.2400005172546008,0.09087604860650503,0.08205089136243607,Routine,"Simplify - catalogue buying, e-procurement"
Humanitarian Aid And Relief,2220761.48,13,46,170827.80615384615,5.853847933277373,0.3119002766564557,0.08601617879985052,0.1878414931098444,Bottleneck,"Secure - buffer stock, qualify alternates"
Cereal And Pulse Products,2013964.65,14,297,143854.61785714285,6.951462628701056,0.2687688435842208,0.07800637078367298,0.15816888273847765,Bottleneck,"Secure - buffer stock, qualify alternates"
Interior Finishing Materials,1995967.56,46,138,43390.599130434784,23.04646674718501,0.15682083530455776,0.07730929416141592,0.045144167588602555,Routine,"Simplify - catalogue buying, e-procurement"
Developmental And Professional Teaching Aids And Materials And Accessories And Supplies,1975766.37,99,204,19957.23606060606,50.10713893262592,0.4028236293950079,0.07652684670514531,0.1707028320500116,Bottleneck,"Secure - buffer stock, qualify alternates"
Janitorial Equipment,1920447.48,42,140,45724.94,21.86990294574471,0.4084037226573882,0.07438419447702342,0.18775244443274455,Bottleneck,"Secure - buffer stock, qualify alternates"
Industrial Process Machinery And Equipment And Supplies,1899833.17,54,90,35182.09574074074,28.423548368723345,0.19537529182101815,0.07358574575087047,0.06340264116622218,Routine,"Simplify - catalogue buying, e-procurement"
Exterior Finishing Materials,1878642.3800000001,19,38,98875.91473684211,10.113686459048155,0.3741615793847896,0.07276496837429688,0.1979234493435317,Bottleneck,"Secure - buffer stock, qualify alternates"
Personal Care Products,1872648.74,53,208,35332.995094339625,28.302157723396647,0.2970328541165707,0.07253281826968414,0.120531462923197,Routine,"Simplify - catalogue buying, e-procurement"
Transportation Components And Systems,1829835.39,86,320,21277.155697674418,46.99876309638978,0.15516914884895738,0.07087453988103856,0.03394475298672361,Routine,"Simplify - catalogue buying, e-procurement"
Hardware,1824954.24,101,325,18068.85386138614,55.34385344368963,0.14340005040345558,0.07068547956324663,0.025616723096460875,Routine,"Simplify - catalogue buying, e-procurement"
Dental Equipment And Supplies,1792960.06,30,305,59765.335333333336,16.732107239466337,0.23744889219673979,0.069446257281962,0.10195757467767165,Routine,"Simplify - catalogue buying, e-procurement"
Immunomodulating Drugs,1699550.76,2,4,849775.38,1.1767815631467224,0.9961612738180293,0.06582825907606334,0.9999999984251269,Bottleneck,"Secure - buffer stock, qualify alternates"
Pipe Piping And Pipe Fittings,1688177.05,43,152,39259.93139534884,25.47126203380149,0.34266569374343764,0.06538772411461505,0.15047630083373986,Bottleneck,"Secure - buffer stock, qualify alternates"
Chocolate And Sugars And Sweeteners And Confectionary Products,1632291.29,13,101,125560.86846153847,7.964264760611448,0.428239269720051,0.06322311545771168,0.2528144623582317,Bottleneck,"Secure - buffer stock, qualify alternates"
Heavy Construction Machinery And Equipment,1617513.62,23,49,70326.67913043479,14.21935476500037,0.7395822670105245,0.0626507357958647,0.39270012326657333,Bottleneck,"Secure - buffer stock, qualify alternates"
Batteries And Generators And Kinetic Power Transmission,1612400.54,87,299,18533.339540229885,53.95681646199399,0.25222438216251153,0.06245269219349731,0.08801228817361681,Routine,"Simplify - catalogue buying, e-procurement"
Information Technology Service Delivery,1578805.22,2,4,789402.61,1.266780711556046,0.9947410865540462,0.061151453371596366,0.9992068526276616,Bottleneck,"Secure - buffer stock, qualify alternates"
Vehicle Bodies And Trailers,1549836.16,14,61,110702.58285714286,9.033212904259507,0.4950929780861481,0.060029402279182964,0.2845663239052867,Bottleneck,"Secure - buffer stock, qualify alternates"
Domestic Kitchenware And Kitchen Supplies,1541740.02,40,182,38543.5005,25.944711482549437,0.23405599862420384,0.05971581658702272,0.09159276705882088,Routine,"Simplify - catalogue buying, e-procurement"
Seafood,1500980.73,6,115,250163.455,3.9973864288051186,0.9239536539553043,0.058137097571959936,0.6208756929768966,Bottleneck,"Secure - buffer stock, qualify alternates"
Industrial Refrigeration,1491594.0,31,67,48115.93548387097,20.78313535720846,0.5079465323673867,0.05777352379184109,0.2519321271201438,Bottleneck,"Secure - buffer stock, qualify alternates"
Plastic And Chemical Industries,1469810.25,27,86,54437.416666666664,18.369718131983362,0.31821570845624464,0.05692977944927836,0.15082862443615447,Bottleneck,"Secure - buffer stock, qualify alternates"
Industrial Pumps And Compressors,1414904.88,56,122,25266.15857142857,39.57863231060451,0.17538493471024005,0.05480314398413513,0.05156621407242665,Routine,"Simplify - catalogue buying, e-procurement"
