category_id,segment,category,commodity
87,Defense And Law Enforcement And Security And Safety Equipment And Supplies,Light Weapons And Ammunition,Defense Or Law Enforcement Ammunition
88,Cleaning Equipment And Supplies,Janitorial Equipment,Trash Bags
89,Paper Materials And Products,Paper Products,Paper Towels
90,Service Industry Machinery And Equipment And Supplies,Institutional Food Services Equipment,Food Service Glasses Or Cups Or Mugs Or Container Lids
91,Food Beverage And Tobacco Products,Fresh Fruits,Eureka Lemons
92,Manufacturing Components And Supplies,Hardware,Hose Or Pipe Clamps
93,Laboratory And Measuring And Observing And Testing Equipment,Laboratory And Scientific Equipment,Lancets
94,Food Beverage And Tobacco Products,Canned Or Jarred Vegetables,Canned Or Jarred Roma Vf Tomatoes
95,Furniture And Furnishings,Accommodation Furniture,Mattresses Or Sleep Sets
96,Transportation And Storage And Mail Services,Material Packing And Handling,Freight Fee
97,Food Beverage And Tobacco Products,Dairy Products And Eggs,Natural Cheese
98,Furniture And Furnishings,Merchandising Furniture And Accessories,Head Forms
99,Distribution And Conditioning Systems And Equipment And Components,Industrial Filtering And Purification,Air Filters
100,Furniture And Furnishings,Accommodation Furniture,Lockers
101,Published Products,Signage And Accessories,Label Making Tapes
102,Tools And General Machinery,Hand Tools,Tinners Snips
103,Food Beverage And Tobacco Products,Cereal And Pulse Products,Ready To Eat Or Hot Cereals
104,Food Beverage And Tobacco Products,Bread And Bakery Products,Baking Mixes
105,Food Beverage And Tobacco Products,Meat And Poultry Products,"Beef, Processed With Additions"
106,Furniture And Furnishings,Accommodation Furniture,Stands
107,Medical Equipment And Accessories And Supplies,Dental Equipment And Supplies,Dental Syringe Accessory Kits
108,Commercial And Military And Private Vehicles And Their Accessories And Components,Motor Vehicles,Police Vehicles
109,Food Beverage And Tobacco Products,Fresh Vegetables,Black Beans
110,Food Beverage And Tobacco Products,Fresh Vegetables,Fava Or Broad Beans
111,Service Industry Machinery And Equipment And Supplies,Institutional Food Services Equipment,Commercial Use Blenders
112,Tools And General Machinery,Hand Tools,Levels
113,Politics And Civic Affairs Services,Public Administration And Finance Services,License Or Registration Fee
114,Chemicals Including Bio Chemicals And Gas Materials,Additives,Acid Additives
115,Paper Materials And Products,Paper Products,Printer Or Copier Paper
116,Commercial And Military And Private Vehicles And Their Accessories And Components,Motor Vehicles,Automobiles Or Cars
117,Food Beverage And Tobacco Products,Edible Oils And Fats,Edible Vegetable Or Plant Fats
118,Material Handling And Conditioning And Storage Machinery And Their Accessories And Supplies,Material Handling Machinery And Equipment,Plate Lifting Clamp
119,Manufacturing Components And Supplies,Industrial Optics,Filter Blanks
120,Food Beverage And Tobacco Products,Canned Or Jarred Vegetables,Canned Or Jarred Delicious Tomatoes
